scn	campaign	order	title_en	title_zh	date	category	brief_zh
STLO	CAMP3	2	St. Lo - Advance on St. Lo	聖洛推進戰	1944-06-30	real	美軍在諾曼第樹籬鄉間向聖洛突擊,為突破作準備
CAENUS	CAMP3	3	Caen - Operation Charnwood	卡昂-查恩伍德作戰	1944-07-07	real	盟軍第一階段奪取卡昂古城的攻勢(遊戲中安排為美軍分支)
ARRACT	CAMP3	4	Arracourt	阿拉庫爾	1944-09-08	real	巴頓第三軍團與德軍新銳裝甲旅在南錫近郊阿拉庫爾爆發大規模戰車戰
METZ	CAMP3	5	Metz	梅斯	1944-11-17	real	美軍圍攻德軍固守的要塞城市梅斯,準備突破齊格菲防線
DESSAU	CAMP3	6	Dessau	德紹	1945-04-11	real	美軍搶在蘇軍之前奪取德紹實驗機場
SALERNO2	CAMP4	1	Salerno - Return To Europe	薩雷諾-重返歐陸	1943-09-27	real	英軍角度的薩雷諾攻勢(與 SALERNO1 同一史實戰役)
STLOUK	CAMP4	2	St. Lo - Advance on St. Lo	聖洛推進戰	1944-06-30	real	英軍角度的聖洛戰役分支
CAENUK	CAMP4	3	Caen - Operation Goodwood	卡昂-古德伍德作戰	1944-07-17	real	蒙哥馬利部隊奪取卡昂後,發動古德伍德裝甲攻勢突破諾曼第
ARRACTUK	CAMP4	4	Arracourt	阿拉庫爾	1944-09-08	real	英軍角度的阿拉庫爾戰役分支(與 ARRACT 同一史實戰役)
METZUK	CAMP4	5	Metz	梅斯	1944-11-17	real	英軍角度的梅斯戰役分支
DESSAUUK	CAMP4	6	Dessau	德紹	1945-04-11	real	英軍角度的德紹戰役分支
SATURN	CAMP5	1	Saturn on the Chir	契爾河畔的土星作戰	1942-11-18	real	蘇軍嘗試切斷通往史達林格勒的軸心軍補給線(呼應史實小土星作戰)
PROK2	CAMP5	2	Prokhorovka	普羅霍羅夫卡	1943-07-12	real	庫斯克會戰蘇軍角度,普羅霍羅夫卡裝甲會戰
KANEV	CAMP5	3	Kanev	卡涅夫	1943-09-23	real	蘇軍強渡第聶伯河,卡涅夫方向突破
LENIN	CAMP5	4	Leningrad	列寧格勒	1944-01-14	real	蘇軍打破德軍對列寧格勒近九百天的圍城
VIIPURI	CAMP5	5	Viipuri	維堡	1944-06-15	real	蘇軍夏季攻勢逼迫芬蘭求和,兵鋒直指維堡(維普里)
SEELOW	CAMP5	6	Seelow Heights	澤洛高地	1945-04-14	real	柏林戰役開幕戰,朱可夫部隊強攻澤洛高地
TUTORIAL	standalone	-	Tutorial - Madrid Offensive	教學關-馬德里攻勢	-	tutorial	新手教學關,沿用馬德里攻勢地圖與部分兵力
4PLAYER	standalone	-	Four Player Madness	四人混戰	1945-08-08	multiplayer	架空:虛擬時間點的四人對戰地圖,沿用波蘭切哈努夫地圖
GIBRALT	standalone	-	Gibraltar or Bust	直布羅陀或死	1940-09-20	alt-history	架空:法國淪陷後軸心軍要求西班牙借道進攻直布羅陀遭拒,轉為進攻西班牙
FINF	standalone	-	Finnish Finished?	芬蘭完蛋?	1945-06-15	alt-history	架空:延續性設定,芬蘭在德國協助下嘗試奪回一年前割讓給蘇聯的土地
FINF4	standalone	-	Finnish Vacation	芬蘭假期	1945-08-01	multiplayer	FINF 的四人對戰版本
CAULDRON	standalone	-	Cauldron	大鍋	1942-06-05	real	加查拉戰役著名階段,隆美爾裝甲部隊在「大鍋」地帶重創英軍反擊
SAL3	standalone	-	Avalanche	雪崩作戰	1943-08-09	real	薩雷諾登陸戰史實代號「雪崩作戰」的獨立劇本版本
STLO2	standalone	-	St. Lo - Operation Cobra	聖洛-眼鏡蛇作戰	1944-07-25	real	盟軍諾曼第大突破,眼鏡蛇作戰獨立劇本版本
RED	standalone	-	Red Tide Rising	赤潮湧現	1945-06-01	alt-history	架空:戰後盟蘇互不信任演變為衝突,蘇軍在德紹近郊攻擊美英部隊(雙人版)
MULTIRED	standalone	-	Red Tide Rising (3 Player)	赤潮湧現(三人版)	1945-06-01	multiplayer	RED 的三人對戰版本
MULTIBEA	standalone	-	Caging the Bear (Multi)	困熊記(多人)	-	multiplayer	柏林近郊澤洛地圖的多人對戰劇本
