english	chinese
Hohei HW 1940	重武步兵 1940
Hohei HW 1943	重武步兵 1943
Hood	胡德號
Hosho	鳳翔
Humber SC	亨伯裝甲車
Hummel	大黃蜂
Hur I	Hur I 颶風
Hur IID	Hur IID 颶風
Hur IV	Hur IV 颶風
I-15	波利卡爾波夫 I-15
I-16	波利卡爾波夫 I-16
II-10	伊留申 II-10
II-2M3	伊留申 II-2M3
IL-4	伊留申 IL-4
IS-2	IS-2 史達林
ISU-122	ISU-122 突擊砲
ISU-152	ISU-152 自走砲
ISU-152 AT	ISU-152 AT 反戰車自走砲
Il-2	伊留申 Il-2
Imperial Guard	近衛師團
Implacable	不屈號
Improved Gato	改良型加托
Independence	獨立號
Indian Nat'l Army	印度國民軍
Infantry 1944	步兵 1944
Iowa	愛荷華號
Ise	伊勢
Isuzu 97 Truck	五十鈴97式卡車
J	J型機
J1N1-S Irving	J1N1-S 月光
J2M Jack	J2M 雷電
J8M	J8M 秋水
JPz Elefant	象式
JU 88G	JU 88G 夜間戰鬥機
JU188a	復仇者 Ju188a
JU87D	斯圖卡 JU87D
JU87R	斯圖卡 JU87R
JagdPanther	獵豹
JagdPanzer 38	38式驅逐戰車
JagdPz IV/48	四號驅逐戰車48
JagdPz IV/70	四號驅逐戰車70
JagdTiger	獵虎
Jeanne D'Arc	貞德號
Ju52ge	Ju52ge 鋼鐵安妮
Ju88A	斯圖卡 Ju88A
Junsen	巡潛型潛艦
Junyo	隼鷹
KV-1/39	KV-1/39 重戰車
KV-1/41	KV-1/41 重戰車
KV-1/42	KV-1/42 重戰車
KV-2	KV-2 重戰車
KXIV	K-14潛艦
Kachin Raiders	克欽突擊隊
Kaga	加賀
Kagero	陽炎
Kaichu	海中型潛艦
Kaidai	海大型潛艦
Kairyu	海龍
Kaiten	回天
Kamikaze	神風
Katori	香取
Katyusha BM13	喀秋莎 BM13
Katyusha BM31	喀秋莎 BM31
Kawasaki Ki-10 Perry	川崎 Ki-10 九五式戰鬥機
Kawasaki Ki-45 KAIc	川崎 Ki-45 KAIc 屠龍
Kempeitai	憲兵隊
Kent	肯特號
Ki-100	Ki-100 五式戰鬥機
Ki-21 Sally	Ki-21 九七式重爆
Ki-43 Oscar	Ki-43 隼
Ki-44 Tojo	Ki-44 鍾馗
Ki-45 Nick	Ki-45 屠龍
Ki-46III Dinah	Ki-46III 百式司偵
Ki-49 Helen	Ki-49 吞龍
Ki-51 Sonia	Ki-51 直協襲擊機
Ki-54	Ki-54 高等練習機
Ki-61 Tony	Ki-61 飛燕
Ki-67 Flying Dragon	Ki-67 飛龍
Ki-84 Frank	Ki-84 疾風
Ki43II Oscar	Ki43II 隼
Kikka	橘花
King George V	喬治五世號
Kirov	基洛夫號
Kittyhawk	小鷹式
Komet	彗星
Kongo	金剛
Kongo 1944	金剛 1944
Kroegel's Raiders	克羅格爾突擊隊
Kuma	球磨
L'Adroit	阿德魯瓦號
L3/35	L3/35 超輕戰車
L6/40	L6/40 輕戰車
LSI(L)	LSI(L) 大型步兵登陸艦
LVT(A)-1	LVT(A)-1 水陸戰車
LVT(A)-1/M24	LVT(A)-1/M24 水陸戰車
LVT(A)-4 Mariana	LVT(A)-4 馬里亞納水陸戰車
LVT-2 Water Buffalo	LVT-2 水牛
LVT-3 Bushmaster	LVT-3 布希馬斯特
LVT-4 Water Buffalo	LVT-4 水牛
La Galissonniere	拉加利索尼埃號
La-3	La-3 拉格戰鬥機
La-7	La-7 拉格戰鬥機
Lancaster	蘭卡斯特
Le Hardi	勒阿爾迪號
LeO 451	LeO 451 轟炸機
Leander	利安德號
Leander 1942	利安德號 1942
Leipzig	萊比錫號
Leningrad	列寧格勒號
Lexington	列星頓號
Littorio	利托里奧號
London	倫敦號
Lr H35	Lr H35 輕戰車
LuftW FJ 1936	空軍傘兵 1936
LuftW FJ 1943	空軍傘兵 1943
Lynx	山貓
M10 Wolverine	M10 狼獾
M12 GMC	M12 GMC 自走砲
M13/40	M13/40 戰車
M14/41	M14/41 戰車
M15/42	M15/42 戰車
M15A1	M15A1 防空高射車
M16	M16 防空高砲車
M18 Hellcat	M18 地獄貓
M19	M19 防空自走砲
M2 Halftrack	M2 半履帶車
M20 Scout	M20 偵察車
M24 Chaffee	M24 霞飛
M26 Pershing	M26 潘興
M2A4	M2A4 輕戰車
M3 GMC	M3 GMC 自走砲
M36 Jackson	M36 傑克遜
M3Stuart	M3 司徒
M3a1 Lee	M3A1 李將軍
M4A1 Sherman	M4A1 雪曼
M4A3 (105)	M4A3 (105) 雪曼
M4A3 Sherman	M4A3 雪曼
M4A3E2 Jumbo	M4A3E2 巨無霸
M4A3E8 Sherman	M4A3E8 雪曼
M5 Stuart	M5 甜心
M5A1 with E7-7	M5A1 甜心式(E7-7)
M7	M7 自走砲
M8 Greyhound	M8 灰狗
M8 HMC	M8 HMC 自走砲
ME262A1	飛燕 ME262A1
ME410a	大黃蜂 ME410a
MS 406	MS 406 戰鬥機
Ma C202/F	Ma C202/F 雷電
Ma C205/O	Ma C205/O 獵戶座
Maoris	毛利步兵
Marconi	馬可尼號
Marder II	貂式 II
Marder IIIH	貂式 IIIH
Marder IIIM	貂式 IIIM
Martin B-10B	馬丁 B-10B 轟炸機
Martin T4M-1	馬丁 T4M-1 魚雷轟炸機
Martlet	馬特列特
Maru	丸型運輸船
Maryland	馬里蘭號
Matilda I	瑪蒂達I
Matilda II	瑪蒂達II
Meiji 38 Imp.75	明治38年式 75mm加農砲(改)
Meteor III	流星III
MiG-3	MiG-3 米格戰鬥機
Midway	中途島號
Militia	民兵
Minerve	密涅瓦號
Mk I A9	Mk I A9 巡航戰車
Mk I IA10	Mk I IA10 巡航戰車
Mk III A13	Mk III A13 巡航戰車
Mogador	摩加多爾號
Mogami	最上
Mogami 1944	最上 1944
Momi	樅
Montana	蒙大拿號
Mosq VI	蚊式VI
Mosquito MK II	蚊式 MK II
Murmansk	摩爾曼斯克號
Mutsuki	睦月
Mutsuki 1944	睦月 1944
N1K2 George	N1K2 紫電改
Nagato	長門
Nakajima Ki-27 Nate	中島 Ki-27 九七式戰鬥機
Nashorn	犀牛
Nebelwerfer	煙霧發射器
Nelson	納爾遜號
Nevada	內華達號
New Orleans	紐奧良號
New Orleans 1944	紐奧良號 1944
Ning Hai	寧海
Northampton	北安普敦號
OT-130	OT-130 火焰戰車
Omaha	奧馬哈號
Opel 6700	閃電卡車
Ordnance Depot HQ	軍械補給總部
Ostwind I	東風 I
Oyodo	大淀
Oyodo 1944	大淀 1944
P-36A Mohawk	P-36A 莫霍克
P-38 Lightning	P-38 閃電
P-38J Lightning	P-38J 閃電
P-40 Flying Tiger	P-40 飛虎
P-40 Warhawk	P-40 戰鷹
P-47B Thunderbolt	P-47B 雷霆
P-47D Thunderbolt	P-47D 雷霆
P-47N Thunderbolt	P-47N 雷霆
P-51H Mustang	P-51H 野馬
P-59A Airacomet	P-59A 空中彗星
P-61 Black Widow	P-61 黑寡婦
P-63 Kingcobra	P-63 眼鏡王蛇
P108 Bi	P108 重轟炸機
P1Y Frances	P1Y 銀河
P39 Airacobra	P39 空中眼鏡蛇
P47D Thunderbolt	P47D 雷霆
P51B Mustang	P51B 野馬
P51D Mustang	P51D 野馬
PBY Catalina	PBY 卡塔琳娜
PE-2	PE-2 俯衝轟炸機
PE-8	PE-8 重轟炸機
PSW 222	PSW 222 輕偵查車
PSW 222/4r	輕偵查車222
PSW 231/6r	重偵查車231
PSW 232/8r	重裝甲車232
PSW 233/8r	重裝甲車233
PSW 234/1-8r	重裝甲車234/1
PSW 234/2-8r	重裝甲車234/2
PT Boat	PT 魚雷快艇
PZL P11C	PZL P11C 戰鬥機
PZL P23b	PZL P23b 輕轟炸機
PZL P24	PZL P24 戰鬥機
PZL P37b	PZL P37b 轟炸機
Panther A	豹式 A
Panther D	豹式 D
Panther G	豹式 G
Pennsylvania	賓夕法尼亞號
Pensacola 1945	彭薩科拉號 1945
Perth	伯斯號
Phi Scout	菲律賓斥候部隊
Pill Box	碉堡
Porter	波特號
Pz 35(t)	輕戰車35
Pz38(t)G	輕戰車38G
PzIA	一號戰車A
PzIB	一號戰車B
PzIID	二號戰車D
PzIIF	二號戰車F
PzIIIE	三號戰車E
PzIIIH	三號戰車H
PzIIIJ	三號戰車J
PzIIIN	三號戰車N
PzIVD	四號戰車D
PzIVG	四號戰車G
PzIVJ	四號戰車J
PzJager IB	一號驅逐戰車B
Q	Q級潛艇
Queen Elizabeth	伊莉莎白女王號
Queen Elizabeth 1943	伊莉莎白女王號 1943
R	R級潛艇
RA 97	RA 97 火砲
RE 2000	RE 2000 戰鬥機
Ram Kg	袋鼠運兵車
Rangers 1943	遊騎兵 1943
Re2000/F1	Re2000/F1 戰鬥機
Re2005/S	Re2005/S 射手座戰鬥機
Redoubtable	可畏號
Renown	聲望號
Requin	鯊魚號
Revoluciya	十月革命號
Revoluciya 1942	十月革命號 1942
Richelieu	黎希留號
Rockets	火箭砲
Royal Sovereign	皇家主權號
Ryujo	龍驤
S	S級潛艇
S35	S35 戰車
SB2C HellDiver	SB2C 地獄俯衝者
SBC Helldiver	SBC 地獄俯衝者
SBD Dauntless	SBD 無畏
SM.79 B	SM.79 B 轟炸機
SPW 250/1	輕型運兵車
SPW 251/1	中型運兵車
SU-100	SU-100 驅逐戰車
SU-152	SU-152 自走砲
SU-152 AT	SU-152 AT 驅逐戰車
SU-85	SU-85 突擊砲
Sa-To	Sa-To 裝甲車
Salmon	鮭魚號
San Giorgio	聖喬治號
Scharnhorst	沙恩霍斯特號
SdKfz 10/4	20mm防空炮38
SdKfz 6/2	37mm防空炮
SdKfz 7/1	20mm防空炮
Sea Gladiator	海鬥士
Sea Hornet	海大黃蜂
Sea Hurricane	海颶風
Seabees	海蜂工兵隊
Seadragon	海龍號
Seafire	海噴火
Sem L-47	Sem L-47 自走砲
Sem M-40	Sem M-40 自走砲
Sem M-41M	Sem M-41M 自走砲
Sem M-42	Sem M-42 自走砲
Sem M-42M	Sem M-42M 自走砲
Sen-Taka	Sen-Taka 高速潛艇
Senpaku Kohei	船舶工兵
Series Vbis-2	Vbis-2型潛艇
Series XIIIbis	XIIIbis型潛艇
Sexton	司事式自走砲
Sh Firefly	雪曼螢火蟲
Shark	鯊魚號
Sherman 105	雪曼 105
Sherman Badger	雪曼獾式
Sherman DD	雪曼 DD 兩棲戰車
Shinano	信濃
Shinyo	震洋
Shokaku	翔鶴
Sims	西姆斯號
Sirene	海妖號
Sm 82	Sm 82 運輸機
So-Ki	So-Ki 裝甲軌道車
Soldati	士兵級驅逐艦
Somers	索默斯號
Soryu	蒼龍
South Dakota	南達科他號
South Dakota 1944	南達科他號 1944
Spica	斯皮卡號 魚雷艇
Spit I	噴火式 I
Spit II	噴火式 II
Spit VB	噴火式 VB
Spit XVII	噴火式 XVII
Spitfire IX	噴火式 IX
Stir MkI	斯特林式 MkI
Strategic Transport	戰略運輸機
Strong Point	據點
Stu H42	突擊榴彈砲42
StuGIIIF	三號突擊砲F
StuGIIIF/8	三號突擊砲F/8
StuGIIIG	三號突擊砲G
Stug IV	四號自走砲
StugIIIb	三號自走砲b
Suffren	絮夫倫號 重巡洋艦
Suki 4x4 Amphibious	Suki 4x4 兩棲車
Sumner	薩姆納號
Super Yamato	超大和
Swordfish Mk I	劍魚式 Mk I
Swordfish Mk IV	劍魚式 Mk IV
Swordfish MkIII	劍魚式 MkIII
T	T 驅逐艦
T-26	T-26 輕戰車
T-28B	T-28B 中戰車
T-34/41	T-34/41 戰車
T-34/43	T-34/43 戰車
T-34/85	T-34/85 戰車
T-35	T-35 重戰車
T-38	T-38 水陸戰車
T-40	T-40 輕戰車
T-60	T-60 輕戰車
T-70	T-70 輕戰車
T34/40	T34/40 戰車
T92 HMC	T92 自走砲
T93 HMC	T93 自走砲
TBD Devastator	TBD 破壞者
TBF Avenger	TBF 復仇者
TBM Avenger	TBM 復仇者
TK3	TK3 輕戰車
Ta-Ha	Ta-Ha 戰車
Takao	高雄
Takao 1944	高雄 1944
Tambor	唐博號
Teishin Dan 1940	挺進團 1940
Teishin Dan 1943	挺進團 1943
Tiger I	虎式 I
Tiger II	虎王 II
Tjerk Hiddes	特耶克希德斯號 驅逐艦
Tone	利根
Tone 1944	利根 1944
Transport	運輸艦
Transport HQ	運輸指揮部
Tupolev SB-2	圖波列夫 SB-2
Tupolev TB-3	圖波列夫 TB-3
Tupolev Tu-2	圖波列夫 Tu-2
Type 1 47mm	Type 1 47mm 反戰車砲
Type 1 Chi-He	Type 1 Chi-He 中戰車
Type 2 Ho-I	Type 2 Ho-I 砲戰車
Type 2 Ka-Mi	Type 2 Ka-Mi 水陸戰車
Type 3 Chi-Nu	Type 3 Chi-Nu 中戰車
Type 91 105mm	Type 91 105mm 榴彈砲
Type 92	Type 92 裝甲車
Type 93 Sumida	Type 93 Sumida 裝甲車
Type 94 Light	Type 94 輕戰車
Type 95 Ha-Go	Type 95 Ha-Go 輕戰車
Type 97 Chi-Ha	Type 97 Chi-Ha 中戰車
Type 98 Ke-Ni	Type 98 Ke-Ni 輕戰車
Typhoon IB	颱風式 IB
UBoat Type IXC	U艇 IXC型
USMC  Marines 1943	陸戰隊 1943
USMC Defense Forces	陸戰隊防衛部隊
USMC Engineers 1941	陸戰隊工兵 1941
USMC Engineers 1943	陸戰隊工兵 1943
USMC F4F Wildcat	陸戰隊 F4F 野貓
USMC F4U Corsair	陸戰隊 F4U 海盜
USMC F6F Hellcat	陸戰隊 F6F 地獄貓
USMC Marines 1941	陸戰隊 1941
USMC Paramarines 1941	陸戰隊傘兵 1941
USMC Paramarines 1943	陸戰隊傘兵 1943
USMC Raiders	陸戰隊突擊隊
USMC Raiders & Dogs	陸戰隊突擊隊與軍犬
USMC SB2C HellDiver	陸戰隊 SB2C 地獄俯衝者
USMC SBD Dauntless	陸戰隊 SBD 無畏
USMC Sherman POA	陸戰隊 M4雪曼 POA
VCL M1931(b)	VCL M1931(b) 輕戰車
Valentine III	瓦倫丁 III
Valentine VI	瓦倫丁 VI
Van Ghent	范根特號 驅逐艦
Vengeance	復仇式
Vickers 6-Ton B	維克斯六噸戰車 B型
Vickers L	維克斯輕戰車
Vildebeast	維德比斯特式
Volkssturm	國民突擊隊
W.African Infantry	西非步兵
Wasp/Ranger	黃蜂號/突擊者號
Wehr HW 1936	國防軍重武 1936
Wehr HW 1944	國防軍重武 1944
Wehr Infantry 1944	國防軍步兵 1944
Wespe	黃蜂
Wichita	威奇塔號
Wildcat	野貓
Wirbelwind	旋風
Wirraway	威拉威
YaK-1	雅克 YaK-1
YaK-1M	雅克 YaK-1M
YaK-7B	雅克 YaK-7B
YaK-9M	雅克 YaK-9M
Yamato	大和
Ying Swei	應瑞號
York	約克號 重巡洋艦
Yorktown	約克鎮號
Z	Z 驅逐艦
Zara	扎拉號 重巡洋艦
Zuiho	瑞鳳
deHavilland Hornet	德哈維蘭大黃蜂式
sIG 38(t)M	蟋蟀式自走炮38式
sIG IB	野牛式自走炮IB
sIG II	野牛式自走炮II
z20mm SPAA	z20mm 自走防空砲
Hohei 1936	步兵 1936
Kihei	騎兵
Grant	M3 格蘭特
PzIVH	四號戰車 H
Valentine Mk III	范倫泰 Mk III
Valentine Mk VI	范倫泰 Mk VI
Doria	多利亞號
Fiji	斐濟號
