檔類	original	zh_tw	來源/備註
GUI97	Inspect Unit	檢視單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Go To Unit	移至單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Overstrength Unit	超編單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Upgrade Unit	升級單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Reassign Unit	重新分派單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Undo Last Action	復原上一步	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Soft Target	軟目標	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Hard Target	硬目標	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Unit	空中單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Naval Unit	海軍單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fuel	燃料	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Ammo	彈藥	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Range	航程	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Initiative	先攻	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Spotting Range	偵察範圍	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Sea Movement	海上移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Wheeled Movement	輪型移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	All Terrain Movement	全地形移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Movement	空中移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Half Track Movement	半履帶移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Towed Movement	拖曳移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tracked Movement	履帶移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Leg Movement	步行移動力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Hard Attack	硬目標攻擊力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Soft Attack	軟目標攻擊力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Attack	空戰攻擊力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Naval Attack	海戰攻擊力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Ground Defense	地面防禦力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Defense	防空	自譯;注意:GUI97第87行語境為「空中防禦力」(單位數值統計),與本欄多數語境(單位兵科/戰鬥通知)"防空"不同,apply腳本用line-index override處理
GUI97	Close Defense	近戰防禦力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Ranged Defense Modifier	距離防禦修正	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Air Defense	選擇防空單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Anti-tank	選擇反戰車單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Artillery	選擇砲兵單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Infantry	選擇步兵單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Recon	選擇偵察單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Tank	選擇戰車單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Fighter	選擇戰鬥機單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Select Tactical Bomber	選擇戰術轟炸機單位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Core	核心部隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Auxiliary	輔助部隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Scroll Up	向上捲動	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Scroll Down	向下捲動	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Exit	離開	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Cancel	取消	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Total Prestige	總聲望值	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Available Prestige	可用聲望值	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Expended Prestige	已耗用聲望值	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Exit Deployment	離開部署	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Edit Equipment	編輯裝備	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Load Campaign Script	載入戰役腳本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Save New Campaign	儲存新戰役	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Load Scenario	載入劇本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Save Scenario	儲存劇本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Edit Map	編輯地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Edit Army	編輯軍隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Place Army	部署軍隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Clear All Victory Hexes	清除所有勝利點六角格	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Clear All Scenario Hex Info	清除所有劇本六角格資訊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Change Terrain Type	變更地形類型	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Save Map	儲存地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Load Map	載入地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Identify Map	辨識地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Toggle Road Mode	切換道路模式	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fill Map	填滿地圖	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Clear Roads	清除道路	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Exit Edit Map	離開地圖編輯	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Next Army	下一支軍隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Toggle Entrench Mode	切換挖壕模式	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Enter Scenario Description	輸入劇本描述	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Class None	無兵種類別	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Infantry	步兵	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tank	戰車	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Recon	偵察	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Anti-tank	反戰車	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fortification	工事	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Ground Transport	地面運輸	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Artillery	砲兵	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fighter	戰鬥機	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tactical Bomber	戰術轟炸機	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Air Transport	空運機	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Submarine	潛艇	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Destroyer	驅逐艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Battleship	戰列艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Carrier	航空母艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Naval Transport	海運運輸艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Battle Cruiser	戰鬥巡洋艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Cruiser	巡洋艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Light Cruiser	輕巡洋艦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Play A Campaign	進行戰役	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Play A Scenario	進行劇本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Start A Multiplayer Scenario	開始多人劇本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show The Credits	顯示製作名單	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Start The Scenario Builder	啟動劇本編輯器	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Load A Saved Game	載入存檔	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Review A Dossier	檢視戰績檔案	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show The Introduction	顯示遊戲介紹	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Exit The Game	離開遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Dry	乾燥	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Frozen	結凍	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Turn	回合	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	January	一月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	February	二月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	March	三月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	April	四月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	May	五月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	June	六月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	July	七月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	August	八月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	September	九月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	October	十月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	November	十一月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	December	十二月	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fair	晴朗	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Overcast	陰天	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Rain	雨天	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Snow	雪天	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Turns	回合數	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Current Strength	目前戰力	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Experience Level	經驗等級	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Leader	指揮官	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Unit Has Transport	單位已有運輸工具	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Unit Has Moved	單位已移動	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Congratulations on your Victory	恭喜你獲得勝利	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Next Country	下一個國家	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Total Cost Of Unit	單位總花費	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Cost of Equipment	裝備花費	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Available	可用	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Casualties Inflicted	造成的傷亡	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Casualties Taken	承受的傷亡	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Entrenchment	壕溝防禦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Assaulting	強襲中	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Attacking	攻擊中	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Interceptors!	攔截機來襲!	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Close Support Fire	近接支援砲擊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Support Fire	支援砲擊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Attack Broken Off!	攻擊中止!	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Surrender	投降	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Fleeing Port	撤離港口	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Scuttling	自沉	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Submarine Dives	潛艇下潛	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Submarine Evades	潛艇規避	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Rugged Defense!	頑強防禦!	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Suppressed	遭壓制	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Destroyed	已摧毀	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	LAN Connection	區域網路連線	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Internet Connection	網際網路連線	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Club SSI	Club SSI	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Internet List	網際網路清單	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Create Game	建立遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Join Game	加入遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Enter Your Player Name	輸入你的玩家名稱	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Enter The Game Name	輸入遊戲名稱	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Scenario Save Games	顯示劇本存檔	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Campaign Save Games	顯示戰役存檔	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Multiplayer Save Games	顯示多人存檔	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Show Email Games	顯示電子郵件對戰存檔	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Save Game	儲存遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Load Game	載入遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Up One Level	上一層	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Create Directory	建立目錄	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	New Game	新遊戲	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Successfully Saved	已成功儲存	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	WAS NOT SAVED-ERROR	未能儲存-錯誤	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	No File Description	無檔案描述	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Deploy Forces	部署部隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Name Scenario	命名劇本	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Starting Date	起始日期	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Number Of Turns	回合總數	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Turns Per Day	每日回合數	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Ground Conditions	地面狀況	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Atmospheric Conditions	天候狀況	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Scenario Description	劇本描述	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Designate Supply	指定補給	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Designate Victory	指定勝利點	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Designate Ownership	指定所屬	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Designate Deployment	指定部署區	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Build Army	建立軍隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Unit Settings	單位設定	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Deploy Army	部署軍隊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Set Prestige	設定聲望	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Scenario Parameters	劇本參數	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Prestige Allocated Per Turn	每回合分配聲望	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Unit Names	單位名稱	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Make Global Settings	進行全域設定	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Enter An IP Address	輸入IP位址	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Are You Sure You Want to Quit?	確定要離開嗎?	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Empty Slot	空格位	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Yes	是	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	No	否	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tenacious Defense	頑強防禦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Aggressive Maneuver	積極機動	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Elite Recon Veteran	精銳偵察老兵	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Tank Killer	戰車殺手	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Marksman	神射手	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Mechanized Veteran	機械化老兵	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Skilled Interceptor	熟練攔截手	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Skilled Assault	熟練突擊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Aggressive Attack	積極攻擊	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
GUI97	Determined Defense	堅決防禦	自譯(UI/選單/國名/軍語,參考PG/AG/PacGen既有慣例)
