檔類	original	zh_tw	來源/備註
SCENARIO_BRIEF	Caen - Operation Charnwood	卡昂-查恩伍德作戰	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	July 7, 1944	1944 年 7 月 7 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	British commander Bernard Montgomery promised the Allied command that his troops would capture the old city of Caen on the first day of the Normandy landings. After weeks of hard, bloody fighting, Montgomery attempts to make good on his promise."	"	英軍指揮官蒙哥馬利曾向盟軍統帥部保證,他的部隊將在諾曼第登陸首日就攻下卡昂古城。歷經數週血腥苦戰後,蒙哥馬利試圖兌現這項承諾。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	18 Turns	18 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Ciechanow	切哈努夫	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	September 5, 1939	1939 年 9 月 5 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	The German troops try to clear Polish forces from Mlawa and Ciechanow.  The Polish army attempts to defend their homeland against the German invaders. "	"	德軍試圖清除姆瓦瓦與切哈努夫一帶的波蘭部隊。波蘭軍隊則力圖抵禦德國入侵者,保衛家園。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	17 Turns	17 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Dessau	德紹	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	April 11, 1945	1945 年 4 月 11 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	The Third Armored Division has been ordered to attack towards Dessau in an attempt to beat the Soviets to the experimental airbase nearby.  The Americans must capture the German town and airfield at Dessau.  The German defenders try to prevent an easy victory for the Americans.	美軍第 3 裝甲師奉命向德紹進攻,搶在蘇軍之前奪取附近的實驗機場。美軍必須攻佔德紹城鎮與機場;德軍守軍則試圖不讓美軍輕易得手。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	14 Turns	14 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Red Tide Rising	赤潮湧現	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	June 1, 1945	1945 年 6 月 1 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Postwar mistrust between the Allied Powers leads to hostilities. The Soviets attack U.S. and British forces near Dessau, attempting to drive towards Halle, Sangerhausen and Halberstadt. 	戰後盟國之間的猜忌演變為衝突。蘇軍在德紹附近攻擊美英部隊,企圖向哈勒、桑格豪森與哈爾伯施塔特方向推進。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	3 Players 	3 位玩家	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Ja Wolfgang, I was as surprised as you that they chose Normandy.... Ah, Herr General, come in. Allow me to explain the present situation. We have a chance to drive the Allies back into the sea, here, near Caen. I will not pretend that this will be an easy task, but you have shown yourself to be a most resourceful fellow time and time again, ja? You will need all your skill to wrest a victory here. Our thoughts are with you. Ja, As I was saying, Wolfgang.... 	是啊,沃爾夫岡,他們選在諾曼第登陸,我和你一樣意外……啊,將軍閣下,請進。容我向您說明目前局勢。我們在這裡,卡昂附近,有機會把盟軍逼回海裡。我不會騙您說這是件容易的差事,但您已經一次又一次證明自己足智多謀,是吧?您需要拿出全部本事才能在此贏得勝利。我們的心與您同在。是啊,我剛才說到哪了,沃爾夫岡……	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Excellent! Despite the fact the enemy have managed to force their way inland at other points, you have swept all before you. And because of this blow you have dealt them, the Allies will not be able to take advantage of their successes elsewhere. It is unfortunate that we do not have more like you, Herr General. 	太好了!儘管敵軍已在其他地點成功打入內陸,您卻所向披靡。正因為您給予敵人這記重擊,盟軍將無法利用他們在其他戰線上的戰果。可惜像您這樣的人才,我們實在太少了,將軍閣下。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Very good! Despite the fact the enemy has managed to force their way inland at other points, you have swept all before you. And because of this blow you have dealt them, the Allies will not be able to take advantage of their successes elsewhere. You have done very well, Herr General.	很好!儘管敵軍已在其他地點成功打入內陸,您卻所向披靡。正因為您給予敵人這記重擊,盟軍將無法利用他們在其他戰線上的戰果。您表現得很出色,將軍閣下。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, I am sorry that the sacrifice of your fine troops have been in vain.  You have been ordered to Berlin.  I do not envy your reception there.	將軍閣下,很遺憾您麾下優秀部隊的犧牲都白費了。上級已命令您返回柏林述職。我不敢想像您在那裡會受到什麼樣的接待。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, we have an excellent opportunity to deliver a crushing blow to the enemy, here, north of Strasbourg. As you can see, the advance of the American Third Army has left this sector of 	將軍閣下,我們在此,史特拉斯堡以北,有絕佳機會給敵人致命一擊。如您所見,美軍第 3 軍團的推進,讓這一段	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	their front inadequately defended. If you can knife through to Strasbourg, the Americans and British will be forced to halt their drive on the Fatherland. Good luck.	戰線的防禦變得空虛。若您能長驅直入史特拉斯堡,美軍與英軍將被迫停止對祖國的攻勢。祝您好運。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, your thrust to Strasbourg will be used as a textbook example of offensive maneuver. This lightning blow has changed the course of the war in the west.  Outstanding.	將軍閣下,您進擊史特拉斯堡的行動,將成為進攻機動戰的教科書範例。這記閃電打擊,已經改變了西線戰局的走向。表現卓越。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, your thrust to Strasbourg will be used as a textbook example of offensive maneuver. This lightning blow, you have changed the course of the war in the west. Outstanding.	將軍閣下,您進擊史特拉斯堡的行動,將成為進攻機動戰的教科書範例。憑藉這記閃電打擊,您已經改變了西線戰局的走向。表現卓越。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	The Americans and British have pushed us back across the Rhine. We no longer have the strength to halt them. All that is left for the fatherland is defeat and disgrace. But you have already experienced that. Haven't you, Herr General?	美軍與英軍已將我們逼退過萊茵河。我們已無力阻擋他們。留給祖國的只剩下失敗與恥辱。不過這些您早已嚐過了,不是嗎,將軍閣下?	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, I know that you and your men have not had time even to catch a breath, but the situation here is critical. Buda-Pest is besieged by the Bolsheviks. Your troops must force their way into the city. It is doubtful that our Hungarian allies will continue to fight if Buda-Pest falls. If you can drive the Reds into the Danube, we may stop the Russian Bear from consuming us.	將軍閣下,我知道您和弟兄們連喘口氣的時間都沒有,但這裡的情勢非常危急。布達佩斯已遭布爾什維克圍困。您的部隊必須強行打入城內。一旦布達佩斯陷落,恐怕我們的匈牙利盟友將無心再戰。若您能把紅軍逼入多瑙河,或許還能阻止俄國熊將我們吞噬。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	The Russians are dazed and reeling from the blows you and your brave men have delivered! Not only did you succeed in relieving Buda-Pest, you drove the Reds back across the Danube. Herr General, diplomatic representatives of Germany and the Soviet Union are meeting even as we speak... Your string of victories here, and in the west, are unparalleled. You are to return home to a grateful nation.	俄國人被您和您麾下勇士的打擊打得暈頭轉向!您不僅成功解圍布達佩斯,更把紅軍逼回多瑙河對岸。將軍閣下,此刻德國與蘇聯的外交代表正在會談……您在此地和西線接連的勝利,舉世無雙。您即將返回祖國,接受全國同胞的感激。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, diplomatic representatives of Germany and the Soviet Union are meeting even as we speak... Your string of victories here, and in the west, are unparalleled.... You are to return home to a grateful nation.	將軍閣下,此刻德國與蘇聯的外交代表正在會談……您在此地和西線接連的勝利,舉世無雙……您即將返回祖國,接受全國同胞的感激。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	It was hoped that you would once again snatch victory from defeat. But it was not to be. The Wehrmacht is a spent force, unable even to slow the Russian Bear.  I advise you to fight your way to the west, Herr General. The Reds are not known for their hospitality to guests.	原本我們期盼您能再次反敗為勝,但事與願違。國防軍已是強弩之末,連拖延俄國熊的腳步都做不到了。我勸您殺出一條血路往西撤,將軍閣下。紅軍向來不以待客之道聞名。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, we have underestimated the Bolsheviks' powers of resistance. They have crossed the Don and completely encircled Sixth Army. You must drive on Kletskaya and Serafimov to reestablish contact. We will never, never surrender to the Red Army, but in order for us to hold our position, you must prevail. Good Luck.	將軍閣下,我們低估了布爾什維克的抵抗能力。他們已渡過頓河,將第 6 軍團徹底包圍。您必須向克列茨卡亞與謝拉菲莫維奇方向推進,重新打通聯繫。我們絕不、絕不向紅軍投降,但要守住陣地,就必須靠您打贏這一仗。祝您好運。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Congratulations, Herr General.  Your troops have successfully cleared a corridor to our comrades in Sixth Army. We will be able to continue to send reinforcements and supplies to our brave men.  Bravo.	恭喜您,將軍閣下。您的部隊成功打通了通往第 6 軍團弟兄的走廊。我們將能繼續向前線勇士輸送援軍與補給。太棒了。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Congratulations, Herr General. Your troops have successfully cleared a corridor to our comrades in Sixth Army. We will be able to continue to send reinforcements and supplies to our brave men. Bravo.	恭喜您,將軍閣下。您的部隊成功打通了通往第 6 軍團弟兄的走廊。我們將能繼續向前線勇士輸送援軍與補給。太棒了。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, this is a disaster! Sixth Army is entirely lost to us.  Though this situation is not totally of your making, your career is obviously finished. You are dismissed.	將軍閣下,這是一場災難!第 6 軍團已經徹底覆滅。雖然這個局面並非全然是您造成的,但您的軍旅生涯顯然已經結束了。您被免職了。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, as you know the Kursk Salient poses a serious threat to us. To reduce this salient and restore the integrity of our line, we will attack from the north and south, pocket, and then crush the enemy trapped inside. You and your command will lead the northern thrust of our offensive. You must penetrate as far as the town of Prokhorovka. Good Luck. 	將軍閣下,如您所知,庫斯克突出部對我們構成嚴重威脅。為了消除這個突出部、恢復戰線完整,我們將從南北兩面夾擊,將敵軍包圍後予以殲滅。您與您的部隊將負責北路主攻,必須突進到普羅霍羅夫卡鎮。祝您好運。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	You have dealt the Red Army a crippling blow. With our line shortened, we will be able to transfer a large number of  troops to Feldmarschall von Paulus at Stalingrad. Superlative work, Herr General.	您給了紅軍一記重創。隨著戰線縮短,我們將能把大批部隊調撥給史達林格勒的包路斯元帥。表現極為出色,將軍閣下。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	You have dealt the Red Army a severe blow. With our line shortened, we will be able to transfer some troops to Feldmarschall von Paulus at Stalingrad. Good work, Herr General.	您給了紅軍沉重一擊。隨著戰線縮短,我們將能把部分部隊調撥給史達林格勒的包路斯元帥。表現優異,將軍閣下。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, we have broken our teeth on the enemy defenses. The Bolsheviks are counterattacking all along our front. Army Group South has been shaken and must give ground. General Hoth will be assuming your duties. That is all.	將軍閣下,我們在敵軍防線前碰得頭破血流。布爾什維克正沿著我方整條戰線發動反攻。南方集團軍已經動搖,必須讓出陣地。霍特將軍將接替您的職務。就這樣。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, you already know that the enemy has launched an amphibious operation south of Naples, near Salerno. The terrain in this part of Italy is hilly and rugged, and we have been able to contain the enemy beachhead thus far. It is of critical importance that the Americans and British are not allowed to gain a foothold on the continent. We are relying on you and your crack troops to throw the enemy into the sea. Failure here is not an option.	將軍閣下,您已經知道,敵軍已在那不勒斯以南、薩雷諾附近發動兩棲登陸。這一帶義大利地形丘陵起伏、崎嶇難行,目前我軍還壓制得住敵軍灘頭堡。絕不能讓美軍與英軍在歐陸站穩腳跟,這一點至關重要。我們仰賴您和您的精銳部隊,把敵人趕回海裡。這一仗絕不容失敗。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, once again you and your courageous men have kept us from the brink of disaster. Italy remains firmly in our camp, and the invaders have been forced out of Salerno. The Fatherland owes you a great debt.	將軍閣下,您和您麾下的勇士再次把我們從絕境邊緣拉了回來。義大利依然穩穩站在我們這一邊,入侵者已被逐出薩雷諾。祖國虧欠您良多。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, once again you and your courageous men have kept us from the brink of disaster. The invaders have been forced out of Salerno. The Fatherland owes you a great debt.  	將軍閣下,您和您麾下的勇士再次把我們從絕境邊緣拉了回來。入侵者已被逐出薩雷諾。祖國虧欠您良多。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, I am sorry that the sacrifices of your fine troops have been in vain. Italy has  capitulated to the Allies, and we must fall back quickly or face annihilation. You have been ordered to Berlin. I do not envy your reception there.	將軍閣下,很遺憾您麾下優秀部隊的犧牲都白費了。義大利已向盟軍投降,我們必須迅速撤退,否則就要面臨全軍覆沒。上級已命令您返回柏林述職。我不敢想像您在那裡會受到什麼樣的接待。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Race To Dunkirk	搶攻敦克爾克	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	May 21, 1940	1940 年 5 月 21 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	The Germans try to break through the Anglo-French lines and capture the French city of Dunkirk.	德軍試圖突破英法聯軍防線,攻佔法國城市敦克爾克。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	2 Player	2 位玩家	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	20 Turns	20 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Finnish Finished?	芬蘭完蛋?	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	June 15, 1945	1945 年 6 月 15 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	With the help of their German ally, Finland tries to retake what was lost to the Soviets a year earlier.	在德國盟友的協助下,芬蘭試圖奪回一年前割讓給蘇聯的失土。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	3 Players	3 位玩家	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Drive to the Sea	逐退入海	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	June 6, 1944	1944 年 6 月 6 日	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	"	For well over two years, the German High Command had known that the Allies would eventually try to land somewhere in France. The day is now."	"	德軍統帥部早在兩年多前就已經知道,盟軍終將設法在法國某處登陸。這一天,終於來了。"	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	The Germans must inflict a severe enough defeat that the Allies begin evacuating the beaches.	德軍必須予以盟軍重創,迫使他們開始撤離灘頭。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	11 Turns	11 回合	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Though our attack was well timed and resulted in complete surprise of the enemy, your performance was not of the highest caliber, Herr General.  Although you were successful, we expected more from you.	雖然我軍出擊時機掌握得當,徹底打了敵人一個措手不及,但將軍閣下,您的表現並非最上乘。您雖然成功了,我們原本期望您能有更好的表現。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	You were fortunate to have escaped capture after the fiasco you perpetrated in Finland.  However, your previous performance merits another opportunity.  Do not fail us again.	您在芬蘭闖下大禍,能全身而退未被俘虜,算是幸運。不過,考量您先前的表現,值得再給一次機會。別再讓我們失望了。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	We have seized the Norwegian capital of Oslo, but still the Norwegians and their British allies resist us.  They are attempting to keep us out of the valley leading north from Oslo through Lillehammer.  Your forces are tasked with securing this important communications center.  Good luck, Herr General. 	我軍已攻佔挪威首都奧斯陸,但挪威人與他們的英國盟友仍在頑抗。他們試圖阻止我軍進入從奧斯陸向北經利勒哈默爾延伸的谷地。您的部隊奉命奪取這個重要的交通樞紐。祝您好運,將軍閣下。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Very well done!  You have exceeded the General Staff's hopes!  Your drive through the Lillehammer Valley has broken enemy resistance. And, because of your bold attack, the Norwegian government has sued for peace.  Congratulations!	表現非常出色!您超越了參謀本部的期望!您突破利勒哈默爾谷地的攻勢,已經瓦解了敵軍的抵抗。而且,由於您這次大膽的攻擊,挪威政府已經求和。恭喜您!	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Good work. You have fulfilled the General Staff's hopes!  Your attack has weakened enemy resistance.  And now, the war with Norway will soon be over. 	表現不錯。您達成了參謀本部的期望!您的攻勢削弱了敵軍的抵抗。如今,與挪威的戰爭即將結束。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	You have succeeded in your mission where many others would have failed.  However, the Western Allies have been able to evacuate a majority of their troops and sink most of our surface fleet.	換作旁人多半會失敗,而您完成了任務。不過,西方盟軍還是撤走了大部分部隊,並擊沉了我軍大部分水面艦隊。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	You have failed miserably.  With the loss of our surface fleet, England remains dominant on the high seas. Report for reassignment immediately!	您慘遭失敗。隨著我軍水面艦隊的損失,英國依然稱霸公海。立刻回報聽候改派!	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, your victory at Lillehammer allows us an opportunity to crush our old enemy, France.  Their army is said to be the world's finest.  We shall see!  Now, we believe the Allies plan to push into Belgium in response to our offensive.  Your task is to lead your forces through the Ardennes and emerge behind the enemy.  Our victory at Sedan in 1870 made Germany a Great Power.  Your victory at Sedan will return us to that status.  	將軍閣下,您在利勒哈默爾的勝利,讓我們有機會擊潰宿敵法國。據說他們的陸軍是世界最強,我們就等著瞧吧!如今我們判斷,盟軍為了因應我方攻勢,將會推進至比利時。您的任務是率軍穿越阿登森林,繞到敵軍後方。1870 年我軍在色當的勝利,讓德國躋身列強。您在色當的勝利,將讓我們重返那樣的地位。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Congratulations on your successful escape from Finland, Herr General.  Rapid developments over the past few months have caused the General Staff to forget your failure there.  You are given one last chance - to play an important role in our invasion of France.  Their army is said to be the world's finest.  We shall see!  Now, we believe the Allies plan to push into Belgium in response to our offensive.  Your task is to lead your forces through the Ardennes and emerge behind the enemy.  Our victory at Sedan in 1870 made Germany a Great Power.  Your victory at Sedan will return us to that status.  	恭喜您成功從芬蘭脫身,將軍閣下。過去幾個月局勢發展迅速,參謀本部已經不再追究您在那裡的失敗。這是最後一次機會——讓您在我軍進攻法國的行動中擔綱要角。據說他們的陸軍是世界最強,我們就等著瞧吧!如今我們判斷,盟軍為了因應我方攻勢,將會推進至比利時。您的任務是率軍穿越阿登森林,繞到敵軍後方。1870 年我軍在色當的勝利,讓德國躋身列強。您在色當的勝利,將讓我們重返那樣的地位。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
SCENARIO_BRIEF	Herr General, though you shamed the Wehrmacht with your miserable performance against the Poles, other recent victories have put the General Staff in a forgiving mood.  You have been granted another chance to lead an attack against our old enemy, France.  Their army is said to be the world's finest.  We shall see!  Now, we believe the Allies plan to push into Belgium in response to our offensive.  Your task is to lead your forces through the Ardennes and emerge behind the enemy.  Our victory at Sedan in 1870 made Germany a Great Power.  Your victory at Sedan will return us to that status.  	將軍閣下,雖然您在對波蘭作戰中的拙劣表現讓國防軍蒙羞,但近來其他戰線的勝利,讓參謀本部願意既往不咎。您獲得另一次機會,率軍進攻宿敵法國。據說他們的陸軍是世界最強,我們就等著瞧吧!如今我們判斷,盟軍為了因應我方攻勢,將會推進至比利時。您的任務是率軍穿越阿登森林,繞到敵軍後方。1870 年我軍在色當的勝利,讓德國躋身列強。您在色當的勝利,將讓我們重返那樣的地位。	自譯(戰役簡報散文,第二輪補完;人名/地名對齊歷史百科與glossary.tsv)
